"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"mii-lm-sdd","mii-lm-sdd","","","",0,*,"","","","null {[]} {[]}
","MII LM Soziodemographie","MII LogicalModel Modul Soziodemographie","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"mii-lm-sdd.person.erstsprache","mii-lm-sdd.person.erstsprache","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Erstsprache","Erstsprache","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.person.erstsprache",0,1,"",""
"mii-lm-sdd.person.geburtsland","mii-lm-sdd.person.geburtsland","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Geburtsland","Geburtsland","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.person.geburtsland",0,1,"",""
"mii-lm-sdd.person.staatsangehoerigkeit","mii-lm-sdd.person.staatsangehoerigkeit","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Staatsangehörigkeit","Staatsangehörigkeit","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.person.staatsangehoerigkeit",0,*,"",""
"mii-lm-sdd.intensivmedizin","mii-lm-sdd.intensivmedizin","","","",1,1,"","","","BackboneElement {[]} {[]}
","Intensivmedizin","Intensivmedizin","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.intensivmedizin",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-sdd.intensivmedizin.id","mii-lm-sdd.intensivmedizin.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-sdd.intensivmedizin.extension","mii-lm-sdd.intensivmedizin.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-sdd.intensivmedizin.modifierExtension","mii-lm-sdd.intensivmedizin.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-sdd.intensivmedizin.groesse","mii-lm-sdd.intensivmedizin.groesse","","","",0,1,"","","","Quantity {[]} {[]}
","Größe","Größe","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.intensivmedizin.groesse",0,1,"",""
"mii-lm-sdd.intensivmedizin.gewicht","mii-lm-sdd.intensivmedizin.gewicht","","","",0,1,"","","","Quantity {[]} {[]}
","Gewicht","Gewicht","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.intensivmedizin.gewicht",0,1,"",""
"mii-lm-sdd.soziooekonomischeFaktoren","mii-lm-sdd.soziooekonomischeFaktoren","","","",0,1,"","","","BackboneElement {[]} {[]}
","Sozioökonomische Faktoren","Sozioökonomische Faktoren","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.soziooekonomischeFaktoren",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-sdd.soziooekonomischeFaktoren.id","mii-lm-sdd.soziooekonomischeFaktoren.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-sdd.soziooekonomischeFaktoren.extension","mii-lm-sdd.soziooekonomischeFaktoren.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-sdd.soziooekonomischeFaktoren.modifierExtension","mii-lm-sdd.soziooekonomischeFaktoren.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-sdd.soziooekonomischeFaktoren.schulbildung","mii-lm-sdd.soziooekonomischeFaktoren.schulbildung","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Schulbildung","Schulbildung","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.soziooekonomischeFaktoren.schulbildung",0,1,"",""
"mii-lm-sdd.soziooekonomischeFaktoren.ausbildung","mii-lm-sdd.soziooekonomischeFaktoren.ausbildung","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Ausbildung","Ausbildung","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.soziooekonomischeFaktoren.ausbildung",0,1,"",""
"mii-lm-sdd.soziooekonomischeFaktoren.beschaeftigungsstatus","mii-lm-sdd.soziooekonomischeFaktoren.beschaeftigungsstatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Beschäftigungsstatus","Beschäftigungsstatus","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.soziooekonomischeFaktoren.beschaeftigungsstatus",0,1,"",""
"mii-lm-sdd.soziooekonomischeFaktoren.beruflicheStellung","mii-lm-sdd.soziooekonomischeFaktoren.beruflicheStellung","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Berufliche Stellung","Berufliche Stellung","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.soziooekonomischeFaktoren.beruflicheStellung",0,1,"",""
"mii-lm-sdd.soziooekonomischeFaktoren.einkommen","mii-lm-sdd.soziooekonomischeFaktoren.einkommen","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Einkommen","Einkommen","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.soziooekonomischeFaktoren.einkommen",0,1,"",""
"mii-lm-sdd.erweiterteHerkunft","mii-lm-sdd.erweiterteHerkunft","","","",0,1,"","","","BackboneElement {[]} {[]}
","Erweiterte Herkunft","Erweiterte Herkunft","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.erweiterteHerkunft",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-sdd.erweiterteHerkunft.id","mii-lm-sdd.erweiterteHerkunft.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-sdd.erweiterteHerkunft.extension","mii-lm-sdd.erweiterteHerkunft.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-sdd.erweiterteHerkunft.modifierExtension","mii-lm-sdd.erweiterteHerkunft.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-sdd.erweiterteHerkunft.geburtslandMutter","mii-lm-sdd.erweiterteHerkunft.geburtslandMutter","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Geburtsland Mutter","Geburtsland Mutter","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.erweiterteHerkunft.geburtslandMutter",0,1,"",""
"mii-lm-sdd.erweiterteHerkunft.geburtslandVater","mii-lm-sdd.erweiterteHerkunft.geburtslandVater","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Geburtsland Vater","Geburtsland Vater","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.erweiterteHerkunft.geburtslandVater",0,1,"",""
"mii-lm-sdd.lebenssituation","mii-lm-sdd.lebenssituation","","","",0,1,"","","","BackboneElement {[]} {[]}
","Lebenssituation","Lebenssituation","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.lebenssituation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-sdd.lebenssituation.id","mii-lm-sdd.lebenssituation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-sdd.lebenssituation.extension","mii-lm-sdd.lebenssituation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-sdd.lebenssituation.modifierExtension","mii-lm-sdd.lebenssituation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-sdd.lebenssituation.partnerschaft","mii-lm-sdd.lebenssituation.partnerschaft","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Partnerschaft","Partnerschaft","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.lebenssituation.partnerschaft",0,1,"",""
"mii-lm-sdd.lebenssituation.vertrauensperson","mii-lm-sdd.lebenssituation.vertrauensperson","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Vertrauensperson","Vertrauensperson","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.lebenssituation.vertrauensperson",0,1,"",""
"mii-lm-sdd.lebenssituation.haushaltsgroesse","mii-lm-sdd.lebenssituation.haushaltsgroesse","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Haushaltsgröße","Haushaltsgröße","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.lebenssituation.haushaltsgroesse",0,1,"",""
"mii-lm-sdd.lebenssituation.betreuungssituation","mii-lm-sdd.lebenssituation.betreuungssituation","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Betreuungssituation","Betreuungssituation","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.lebenssituation.betreuungssituation",0,1,"",""
"mii-lm-sdd.lebenssituation.schwerbehindertenausweis","mii-lm-sdd.lebenssituation.schwerbehindertenausweis","","","",0,1,"","","","BackboneElement {[]} {[]}
","Schwerbehindertenausweis","Schwerbehindertenausweis","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.lebenssituation.schwerbehindertenausweis",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-sdd.lebenssituation.schwerbehindertenausweis.id","mii-lm-sdd.lebenssituation.schwerbehindertenausweis.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-sdd.lebenssituation.schwerbehindertenausweis.extension","mii-lm-sdd.lebenssituation.schwerbehindertenausweis.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-sdd.lebenssituation.schwerbehindertenausweis.modifierExtension","mii-lm-sdd.lebenssituation.schwerbehindertenausweis.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-sdd.lebenssituation.schwerbehindertenausweis.vorliegenSchwerbehindertenausweis","mii-lm-sdd.lebenssituation.schwerbehindertenausweis.vorliegenSchwerbehindertenausweis","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Vorliegen Schwerbehindertenausweis","Vorliegen Schwerbehindertenausweis","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.lebenssituation.schwerbehindertenausweis.vorliegenSchwerbehindertenausweis",0,1,"",""
"mii-lm-sdd.lebenssituation.schwerbehindertenausweis.gradDerBehinderung","mii-lm-sdd.lebenssituation.schwerbehindertenausweis.gradDerBehinderung","","","",0,1,"","","","Quantity {[]} {[]}
","Grad der Behinderung","Grad der Behinderung","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.lebenssituation.schwerbehindertenausweis.gradDerBehinderung",0,1,"",""
"mii-lm-sdd.lebenssituation.schwerbehindertenausweis.merkzeichen","mii-lm-sdd.lebenssituation.schwerbehindertenausweis.merkzeichen","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Merkzeichen","Merkzeichen","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.lebenssituation.schwerbehindertenausweis.merkzeichen",0,*,"",""
"mii-lm-sdd.lebenssituation.schwerbehindertenausweis.gueltigkeitszeitraumVon","mii-lm-sdd.lebenssituation.schwerbehindertenausweis.gueltigkeitszeitraumVon","","","",0,1,"","","","dateTime {[]} {[]}
","Gültigkeitszeitraum von","Gültigkeitszeitraum von","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.lebenssituation.schwerbehindertenausweis.gueltigkeitszeitraumVon",0,1,"",""
"mii-lm-sdd.lebenssituation.schwerbehindertenausweis.gueltigkeitszeitraumBis","mii-lm-sdd.lebenssituation.schwerbehindertenausweis.gueltigkeitszeitraumBis","","","",0,1,"","","","dateTime {[]} {[]}
","Gültigkeitszeitraum bis","Gültigkeitszeitraum bis","","","","","","","","","",,,,,"",,,,"mii-lm-sdd.lebenssituation.schwerbehindertenausweis.gueltigkeitszeitraumBis",0,1,"",""
